rang,marque,annonces,favoris,fav_par_annonce
882,Titan,3,54,18.0
883,La Foir'Fouille,3,54,18.0
884,Tutto,24,53,2.2
885,GIANT,17,53,3.1
886,Leclerc,10,53,5.3
887,Tann's,8,53,6.6
888,Joma,7,53,7.6
889,Maison Francis Kurkdjian,6,53,8.8
890,G&B,5,53,10.6
891,pasito a pasito,5,53,10.6
892,Elephant,4,53,13.2
893,Back on Track,4,53,13.2
894,space age,3,53,17.7
895,Monoprix,2,53,26.5
896,Ariana Grande,2,53,26.5
897,onbekend,16,52,3.2
898,Honor,12,52,4.3
899,Elvie,10,52,5.2
900,Acerbis,8,52,6.5
901,Vera Pelle,5,52,10.4
902,Tsume,5,52,10.4
903,teverun,5,52,10.4
904,Lefant,4,52,13.0
905,Globe,3,52,17.3
906,Tendances Fetes,3,52,17.3
907,Cocopup,3,52,17.3
908,Barefoot,3,52,17.3
909,toobur,2,52,26.0
910,Coopay,2,52,26.0
911,Courrier-Loisirs,2,52,26.0
912,Satch,12,51,4.2
913,Autre Chose,7,51,7.3
914,Cameleon,7,51,7.3
915,Fly,7,51,7.3
916,Loro Piana,5,51,10.2
917,NBA,4,51,12.8
918,Avatar,4,51,12.8
919,Molten,4,51,12.8
920,Lazartigue,3,51,17.0
921,IWC Schaffhausen,3,51,17.0
922,Fornasetti,3,51,17.0
923,BERGER,3,51,17.0
924,Festool,3,51,17.0
925,De Buyer,2,51,25.5
926,inno-hit,2,51,25.5
927,Playboy,2,51,25.5
928,Smart Trike,2,51,25.5
929,Mambobaby,2,51,25.5
930,Ralph Lauren,14,50,3.6
931,Tinèo,11,50,4.5
932,Equipe,11,50,4.5
933,La Redoute,10,50,5.0
934,Cultura,9,50,5.6
935,Flexi,7,50,7.1
936,Mickey Mouse,6,50,8.3
937,Nina Ricci,4,50,12.5
938,Bernardaud,4,50,12.5
939,Elgato,4,50,12.5
940,BR,3,50,16.7
941,Quirumed,2,50,25.0
942,Moët & Chandon,2,50,25.0
943,NHL,2,50,25.0
944,Bebe,10,49,4.9
945,Norev,10,49,4.9
946,Jones,8,49,6.1
947,Unicorn We Are Legends,6,49,8.2
948,Azzaro,5,49,9.8
949,Liu Jo,4,49,12.2
950,Francoise Saget,4,49,12.2
951,Devialet,4,49,12.2
952,Rockstar Games,3,49,16.3
953,Hugo Ride style,3,49,16.3
954,Equi-Theme,3,49,16.3
955,ECHO,2,49,24.5
956,Oral-B,23,48,2.1
957,Sonstige,18,48,2.7
958,DeAgostini,18,48,2.7
959,Disney Baby,8,48,6.0
960,Saint Louis,8,48,6.0
961,Auchan,7,48,6.9
962,Chloé,6,48,8.0
963,Vision,6,48,8.0
964,Nivea,6,48,8.0
965,D.Franklin,4,48,12.0
966,Solingen,4,48,12.0
967,Rouge,4,48,12.0
968,PLUS,4,48,12.0
969,Emile Henry,3,48,16.0
970,Sennheiser,3,48,16.0
971,Total,2,48,24.0
972,dossiers criminels,2,48,24.0
973,Grafika,2,48,24.0
974,Studio,11,47,4.3
975,Makita,9,47,5.2
976,Gertrude,7,47,6.7
977,Meller,5,47,9.4
978,Caran d'Ache,5,47,9.4
979,portmeirion,5,47,9.4
980,Equilibre,5,47,9.4
981,Editions Atlas,4,47,11.8
982,Roborock,4,47,11.8
983,Pablo Picasso,2,47,23.5
984,John Lewis,2,47,23.5
985,AudioSonic,2,47,23.5
986,Buttinette,2,47,23.5
987,Exacompta,21,46,2.2
988,Prince,10,46,4.6
989,HoMedics,9,46,5.1
990,OPPO,8,46,5.8
991,Parfait,7,46,6.6
992,Bureau Vallée,7,46,6.6
993,Drop Shot,7,46,6.6
994,HEYE,6,46,7.7
995,Mil-Tec,6,46,7.7
996,Puddle Jumper,6,46,7.7
997,Covalliero,6,46,7.7
998,Nobodinoz,5,46,9.2
999,Karaca,4,46,11.5
1000,Guy Degrenne,4,46,11.5
1001,Vae Victis,4,46,11.5
1002,Wesco,3,46,15.3
1003,obo,3,46,15.3
1004,Grant,3,46,15.3
1005,M&S Mode,2,46,23.0
1006,Ornella,2,46,23.0
1007,Van Cleef & Arpels,2,46,23.0
1008,Selfmade,16,45,2.8
1009,Tigex,13,45,3.5
1010,JVC,9,45,5.0
1011,Bratz,6,45,7.5
1012,Richard Orlinski,6,45,7.5
1013,ZTE,6,45,7.5
1014,Quies,4,45,11.2
1015,YOGA,4,45,11.2
1016,Winnie The Pooh,3,45,15.0
1017,Le Stelle,2,45,22.5
1018,Lampe,2,45,22.5
1019,Electro-Harmonix,2,45,22.5
1020,i9,2,45,22.5
1021,Orbea,16,44,2.8
1022,Giorgio Armani,9,44,4.9
1023,Legrand,9,44,4.9
1024,Loewe,8,44,5.5
1025,Real,7,44,6.3
1026,Qilive,7,44,6.3
1027,Lalique,6,44,7.3
1028,Mares,6,44,7.3
1029,Graco,5,44,8.8
1030,Keababies,5,44,8.8
1031,Nescafé,5,44,8.8
1032,Airfix,5,44,8.8
1033,PlayStation 5,3,44,14.7
1034,Chocolate,3,44,14.7
1035,Skull,3,44,14.7
1036,Eko,2,44,22.0
1037,Lowepro,2,44,22.0
1038,laxasfit,2,44,22.0
1039,pog,13,43,3.3
1040,Hohner,12,43,3.6
1041,Fitbit,9,43,4.8
1042,Focal,7,43,6.1
1043,Lionelo,6,43,7.2
1044,Brunswick,6,43,7.2
1045,Jacadi,5,43,8.6
1046,Breitling,5,43,8.6
1047,PRADY,4,43,10.8
1048,Mr. Boho,4,43,10.8
1049,Tula,4,43,10.8
1050,Camera,4,43,10.8
1051,Catit,4,43,10.8
1052,Leander,3,43,14.3
1053,Swiffer,3,43,14.3
1054,Mamiya,3,43,14.3
1055,MINIVERSE,3,43,14.3
1056,Areej le doré,2,43,21.5
1057,ORIENT,2,43,21.5
1058,Charlotte perriand,2,43,21.5
1059,Eames,2,43,21.5
1060,La Rochere,2,43,21.5
1061,Porto,2,43,21.5
1062,Baofeng,2,43,21.5
1063,Clickeez,2,43,21.5
1064,Telefunken,8,42,5.2
1065,Minnie,7,42,6.0
1066,Step by Step,7,42,6.0
1067,Predator,7,42,6.0
1068,Kiprun,6,42,7.0
1069,BECO,5,42,8.4
1070,Altra,5,42,8.4
1071,ne sais pas,5,42,8.4
1072,Brandt,4,42,10.5
1073,AniOne,4,42,10.5
1074,Itiwit,4,42,10.5
1075,Riding World,4,42,10.5
1076,Mademoiselle,3,42,14.0
1077,Prime 1 studio,3,42,14.0
1078,Cuivre,3,42,14.0
1079,crane,3,42,14.0
1080,Focusrite,3,42,14.0
1081,Jadore,2,42,21.0
1082,Pantone,2,42,21.0
1083,FlowChakra,2,42,21.0
1084,princeton tec,2,42,21.0
1085,Quadro,31,41,1.3
1086,Mai,14,41,2.9
1087,Flying Tiger,13,41,3.2
1088,Haba,11,41,3.7
1089,Gigabyte,11,41,3.7
1090,Always,10,41,4.1
1091,Jordan,8,41,5.1
1092,Twistshake,7,41,5.9
1093,Mug,7,41,5.9
1094,Planeta DeAgostini,7,41,5.9
1095,BUT,6,41,6.8
1096,abb,6,41,6.8
1097,Bébé 9,4,41,10.2
1098,Home Creation,4,41,10.2
1099,Flipper,4,41,10.2
1100,Caterpillar,3,41,13.7
1101,Kid Sleep,3,41,13.7
1102,NZXT,3,41,13.7
1103,BlackPink,3,41,13.7
1104,Coba,3,41,13.7
1105,YesStyle,2,41,20.5
1106,Smartmax,2,41,20.5
1107,Medipartners,2,41,20.5
1108,Kerbl,2,41,20.5
1109,ETUI,2,41,20.5
1110,Antarès,15,40,2.7
1111,Jellycat,10,40,4.0
1112,Livoo,9,40,4.4
1113,Waldhausen,6,40,6.7
1114,DC,6,40,6.7
1115,Argent,5,40,8.0
1116,Good Smile Company,3,40,13.3
1117,RockJam,3,40,13.3
1118,terrax,3,40,13.3
1119,Mystery,2,40,20.0
1120,jute,2,40,20.0
1121,K.R.M.,2,40,20.0
1122,nessuno,19,39,2.1
1123,LPG,15,39,2.6
1124,Tutti,14,39,2.8
1125,Clairefontaine,13,39,3.0
1126,Weleda,7,39,5.6
1127,Ekoi,6,39,6.5
1128,jho,5,39,7.8
1129,Santoro,4,39,9.8
1130,Daum,4,39,9.8
1131,Tiny Love,3,39,13.0
1132,L'École des loisirs,2,39,19.5
1133,DreamCatcher,2,39,19.5
1134,Luveon,2,39,19.5
1135,Legend,2,39,19.5
1136,nor tec,2,39,19.5
1137,Tonor,2,39,19.5
1138,Srixon,23,38,1.7
1139,Cotone,8,38,4.8
1140,IPL,8,38,4.8
1141,Andy Warhol,6,38,6.3
1142,Pauline Wingelaar,5,38,7.6
1143,Daiwa,5,38,7.6
1144,Green,4,38,9.5
1145,Baby's Only,4,38,9.5
1146,Earth,3,38,12.7
1147,Tomorrowland,3,38,12.7
1148,Banwood,3,38,12.7
1149,Issey Miyake,2,38,19.0
1150,Henry Jacques,2,38,19.0
1151,Vacheron Constantin,2,38,19.0
1152,Printemps,2,38,19.0
1153,Balance,2,38,19.0
1154,Dorado,2,38,19.0
1155,shopcha,2,38,19.0
1156,Temu,9,37,4.1
1157,El Corte Inglés,6,37,6.2
1158,Lladró,6,37,6.2
1159,Arcopal,6,37,6.2
1160,Master,6,37,6.2
1161,isfahan,5,37,7.4
1162,Animal,5,37,7.4
1163,Z-MAN Games,4,37,9.2
1164,VISCONTI,3,37,12.3
1165,Clive Christian,2,37,18.5
1166,Ganni,2,37,18.5
1167,démo hunters,2,37,18.5
1168,Hesperide,2,37,18.5
1169,CENTURY,2,37,18.5
1170,ROBLOX,24,36,1.5
1171,Hyla,18,36,2.0
1172,Source Unknown,17,36,2.1
1173,Perfecto,11,36,3.3
1174,Para,11,36,3.3
1175,Lexibook,8,36,4.5
1176,Dainese,7,36,5.1
1177,Erreplus,7,36,5.1
1178,G-Shock,5,36,7.2
1179,F1,5,36,7.2
1180,Curver,4,36,9.0
1181,Zoofari,4,36,9.0
1182,Capita,4,36,9.0
1183,Byoma,3,36,12.0
1184,MODA,3,36,12.0
1185,Pavo,3,36,12.0
1186,Animalis,3,36,12.0
1187,Vaseline,2,36,18.0
1188,Cache Cache,2,36,18.0
1189,Juliette,2,36,18.0
1190,Bruder,2,36,18.0
1191,Williams,2,36,18.0
1192,Morphée,2,36,18.0
1193,Kinder,20,35,1.8
1194,Gillette,17,35,2.1
1195,Elite,14,35,2.5
1196,Hamac,13,35,2.7
1197,Koala Baby,9,35,3.9
1198,Janod,8,35,4.4
1199,Conforama,7,35,5.0
1200,Clearblue,7,35,5.0
1201,Reusch,7,35,5.0
1202,Solido,6,35,5.8
1203,Stranger Things,6,35,5.8
1204,Too Faced,3,35,11.7
1205,Paris Hilton,3,35,11.7
1206,Erreà,3,35,11.7
1207,Premiere,3,35,11.7
1208,Aevor,2,35,17.5
1209,Polène,2,35,17.5
1210,plusieurs,2,35,17.5
1211,maison j,2,35,17.5
1212,Camo,2,35,17.5
1213,Enagic,11,34,3.1
1214,HJC,9,34,3.8
1215,Hisense,9,34,3.8
1216,CRESSI,9,34,3.8
1217,Genius,7,34,4.9
1218,Bemer,6,34,5.7
1219,Caron,5,34,6.8
1220,Cabaïa,5,34,6.8
1221,Nania,5,34,6.8
1222,Bluey,5,34,6.8
1223,Alessi,5,34,6.8
1224,Prata,5,34,6.8
1225,Greggio,4,34,8.5
1226,DAEWOO,4,34,8.5
1227,Afnan,3,34,11.3
1228,Acqua di Parma,3,34,11.3
1229,Herschel,3,34,11.3
1230,Titanic,3,34,11.3
1231,Orangina,3,34,11.3
1232,Confetti,3,34,11.3
1233,SmarTrike,3,34,11.3
1234,Beauty of Joseon,2,34,17.0
1235,Dinh Van,2,34,17.0
1236,Squishmallows,2,34,17.0
1237,oh happy games,2,34,17.0
1238,beris,2,34,17.0
1239,Victor,2,34,17.0
1240,Juventus,12,33,2.8
1241,Playtive,9,33,3.7
1242,Premaman,9,33,3.7
1243,moto,8,33,4.1
1244,AC Milan,8,33,4.1
1245,Pop Mart,7,33,4.7
1246,Sigma,7,33,4.7
1247,Monster,6,33,5.5
1248,Nintendo Switch,5,33,6.6
1249,Ale-Hop,4,33,8.2
1250,SteelSeries,4,33,8.2
1251,Obaïbi,3,33,11.0
1252,Blaupunkt,3,33,11.0
1253,neumann,3,33,11.0
1254,Kalenji,3,33,11.0
1255,Equestrian Stockholm,3,33,11.0
1256,Auriol,2,33,16.5
1257,Forever,2,33,16.5
1258,DIY,2,33,16.5
1259,CamelBak,2,33,16.5
1260,prestige,18,32,1.8
1261,FC Barcelona,14,32,2.3
1262,KitchenAid,10,32,3.2
1263,Tape à l'œil,9,32,3.6
1264,GYM,9,32,3.6
1265,Olivetti,8,32,4.0
1266,Byredo,6,32,5.3
1267,Koeka,6,32,5.3
1268,Light,5,32,6.4
1269,Le Coq Sportif,5,32,6.4
1270,Toyota,5,32,6.4
1271,Luxury,5,32,6.4
1272,mizutani,4,32,8.0
1273,Polarbox,4,32,8.0
1274,Jaguar,3,32,10.7
1275,Balenciaga,3,32,10.7
1276,prime 1,3,32,10.7
1277,Fuzeau,3,32,10.7
1278,POP CORN,3,32,10.7
1279,nitro,3,32,10.7
1280,Fifa World Cup,3,32,10.7
1281,Powell,3,32,10.7
1282,DDR,2,32,16.0
1283,evoc,2,32,16.0
1284,Goyard,2,32,16.0
1285,la fabrique à puzzles,2,32,16.0
1286,Abu Garcia,2,32,16.0
1287,Roberto sport,2,32,16.0
1288,KOMPERDELL,2,32,16.0
1289,Duotone,15,31,2.1
1290,Babylove,11,31,2.8
1291,Krups,10,31,3.1
1292,Custommade,9,31,3.4
1293,CELINE,8,31,3.9
1294,lapierre,7,31,4.4
1295,M&M's,6,31,5.2
1296,Creative,6,31,5.2
1297,Super U,5,31,6.2
1298,Formula 1,5,31,6.2
1299,Angelcab,4,31,7.8
1300,LUDI,4,31,7.8
1301,Wiko,4,31,7.8
1302,Roger & Gallet,3,31,10.3
1303,vanderfields,3,31,10.3
1304,Micuna,3,31,10.3
1305,Fabergé,3,31,10.3
1306,Wintec,3,31,10.3
1307,MARVEL AVENGERS,2,31,15.5
1308,Joone,2,31,15.5
1309,Riess Email,2,31,15.5
1310,MUURLA,2,31,15.5
1311,Bauhaus,2,31,15.5
1312,Asterix,2,31,15.5
1313,be quiet!,2,31,15.5
1314,T&M,2,31,15.5
1315,Trevell,2,31,15.5
1316,sin marca,28,30,1.1
1317,OPATRA,14,30,2.1
1318,Naruto,11,30,2.7
1319,EMS,11,30,2.7
1320,Vileda,9,30,3.3
1321,Auzou,6,30,5.0
1322,Princess,6,30,5.0
1323,Donnay,6,30,5.0
1324,Windelmanufaktur,5,30,6.0
1325,Ford,5,30,6.0
1326,Carré Blanc,4,30,7.5
1327,Shokz,4,30,7.5
1328,Vespa,4,30,7.5
1329,Flightscope,4,30,7.5
1330,Jean Paul,3,30,10.0
1331,histoire d'or,3,30,10.0
1332,MGA Entertainment,3,30,10.0
1333,Jeune Premier,3,30,10.0
1334,ONYX,3,30,10.0
1335,Blokker,3,30,10.0
1336,Tracer,3,30,10.0
1337,xtool,2,30,15.0
1338,TOTEM,2,30,15.0
1339,Longwy,2,30,15.0
1340,JML,2,30,15.0
1341,Flowers,2,30,15.0
1342,Dolby,2,30,15.0
1343,Rien,10,29,2.9
1344,Galaxy,10,29,2.9
1345,Cath Kidston,9,29,3.2
1346,MARE,7,29,4.1
1347,Pepco,6,29,4.8
1348,OUTDOOR,6,29,4.8
1349,Prozis,5,29,5.8
1350,Faber-Castell,5,29,5.8
1351,Gabby's Dollhouse,4,29,7.2
1352,la marque en moins,4,29,7.2
1353,eeBoo,4,29,7.2
1354,autohome,4,29,7.2
1355,Boadicea,3,29,9.7
1356,Moa,3,29,9.7
1357,Leatt,3,29,9.7
1358,brocante,3,29,9.7
1359,Anbernic,3,29,9.7
1360,Maserati,3,29,9.7
1361,RidersDeal,3,29,9.7
1362,Lilly and Ben,2,29,14.5
1363,Charlie Crane,2,29,14.5
1364,Easy Life,2,29,14.5
1365,Gien,2,29,14.5
1366,Sant Louis,2,29,14.5
1367,Zelesta,2,29,14.5
1368,pucca,2,29,14.5
1369,movia,2,29,14.5
1370,Subbuteo,16,28,1.8
1371,Sanitas,9,28,3.1
1372,Fiat,7,28,4.0
1373,Daysy,6,28,4.7
1374,Revell,6,28,4.7
1375,NECA,6,28,4.7
1376,Asics,6,28,4.7
1377,Clarins,5,28,5.6
1378,Torx,5,28,5.6
1379,Boutique Parisienne,4,28,7.0
1380,Mr Wonderful,4,28,7.0
1381,Fagor,4,28,7.0
1382,Nash,4,28,7.0
1383,Lami-Cell,4,28,7.0
1384,Van Deer,4,28,7.0
1385,Maison Crivelli,3,28,9.3
1386,Kids Zone by Jane,3,28,9.3
1387,Winx,3,28,9.3
1388,Paris 2024,3,28,9.3
1389,Artesano,3,28,9.3
1390,Zooplus,3,28,9.3
1391,Atomic Mass Games,3,28,9.3
1392,Jobe,3,28,9.3
1393,Didymos,2,28,14.0
1394,Herman Miller,2,28,14.0
1395,Pogs,2,28,14.0
1396,RC LENS,2,28,14.0
1397,Herend,2,28,14.0
1398,SteamOne,2,28,14.0
1399,Intel,2,28,14.0
1400,Lubitel,2,28,14.0
1401,fabwood,2,28,14.0
1402,Oxylane,2,28,14.0
1403,WMF,15,27,1.8
1404,no brand,14,27,1.9
1405,Grundig,14,27,1.9
1406,Inglesina,10,27,2.7
1407,MB,9,27,3.0
1408,Uhlsport,7,27,3.9
1409,Loop,6,27,4.5
1410,red dragon,6,27,4.5
1411,Creed,5,27,5.4
1412,Boadicea the Victorious,5,27,5.4
1413,National Geographic,5,27,5.4
1414,Couture,5,27,5.4
1415,fairtex,5,27,5.4
1416,French Avenue,4,27,6.8
1417,Silver cross,4,27,6.8
1418,Wii,4,27,6.8
1419,Sabrina Carpenter,3,27,9.0
1420,Bandai Namco,3,27,9.0
1421,Holz,3,27,9.0
1422,SPC,3,27,9.0
1423,actuel,3,27,9.0
1424,Attack Shark,3,27,9.0
1425,kendostar,3,27,9.0
1426,Balmain,2,27,13.5
1427,Attakus,2,27,13.5
1428,Kidzroom,2,27,13.5
1429,Babycalin,2,27,13.5
1430,ghb,2,27,13.5
1431,LILY COOK,2,27,13.5
1432,Imperial,2,27,13.5
1433,Energia,2,27,13.5
1434,Inesis,13,26,2.0
1435,Cairn,12,26,2.2
1436,Goldorak,8,26,3.2
1437,faema,8,26,3.2
1438,Candide,7,26,3.7
1439,Go Sport,7,26,3.7
1440,Ice Watch,6,26,4.3
1441,Play Doh,5,26,5.2
1442,Safety,5,26,5.2
1443,iTS,5,26,5.2
1444,HTC,5,26,5.2
1445,5Five,4,26,6.5
1446,Julius-K9,4,26,6.5
1447,Ruban,4,26,6.5
1448,Time Rider,4,26,6.5
1449,Clinique,3,26,8.7
1450,Eucerin,3,26,8.7
1451,Love Moschino,3,26,8.7
1452,Staedtler,3,26,8.7
1453,Wahl,3,26,8.7
1454,Indiba,3,26,8.7
1455,C'Mon,3,26,8.7
1456,Perles & Co,3,26,8.7
1457,La Prairie,2,26,13.0
1458,Marlù,2,26,13.0
1459,Pixi,2,26,13.0
1460,moonkie,2,26,13.0
1461,Topazio,2,26,13.0
1462,Blackview,2,26,13.0
1463,AlphaTheta,2,26,13.0
1464,maradona,2,26,13.0
1465,Real Madrid,10,25,2.5
1466,Lupilu,8,25,3.1
1467,Trefl,8,25,3.1
1468,Bburago,7,25,3.6
1469,Gigaset,6,25,4.2
1470,Cuesoul,6,25,4.2
1471,Studio Ghibli,5,25,5.0
1472,ECHT,4,25,6.2
1473,Les Deglingos,4,25,6.2
1474,Vivo,4,25,6.2
1475,Fluke,4,25,6.2
1476,GA.MA,4,25,6.2
1477,Diadora,4,25,6.2
1478,garlando,4,25,6.2
1479,Bleu Libellule,3,25,8.3
1480,Tissot,3,25,8.3
1481,IRONMAN,3,25,8.3
1482,Moulin des Loups,3,25,8.3
1483,Nolan,3,25,8.3
1484,Lazio,3,25,8.3
1485,Mixa,2,25,12.5
1486,Mega Bloks,2,25,12.5
1487,Les Incollables,2,25,12.5
1488,Lemax,2,25,12.5
1489,Thor,2,25,12.5
1490,Tatonka,2,25,12.5
1491,Helvetiq,2,25,12.5
1492,Boya,2,25,12.5
1493,kalimba,2,25,12.5
1494,Muramatsu,2,25,12.5
1495,Aqualung,2,25,12.5
1496,Aldi,16,24,1.5
1497,Cube,15,24,1.6
1498,Cobra,13,24,1.8
1499,Minions,10,24,2.4
1500,AMD,10,24,2.4
1501,Flower,10,24,2.4
1502,Zeeman,9,24,2.7
1503,Peg Perego,8,24,3.0
1504,Deco,8,24,3.0
1505,Limited Edition,7,24,3.4
1506,First,7,24,3.4
1507,"Harry""s Horse",7,24,3.4
1508,gem,7,24,3.4
1509,Vichy,6,24,4.0
1510,opatra london,6,24,4.0
1511,Natural,6,24,4.0
1512,DécoTime,6,24,4.0
1513,Norton,6,24,4.0
1514,Horze,6,24,4.0
1515,Blue Sky,5,24,4.8
1516,Santi,5,24,4.8
1517,Je Porte Mon Bebe,4,24,6.0
1518,Poco,4,24,6.0
1519,Spalding,4,24,6.0
1520,Jukki,3,24,8.0
1521,Bulgari,3,24,8.0
1522,Di Nardo,3,24,8.0
1523,Lolita Lempicka,2,24,12.0
1524,Thierry Mugler,2,24,12.0
1525,The Bridge,2,24,12.0
1526,fillikid,2,24,12.0
1527,Square Enix,2,24,12.0
1528,Ion8,2,24,12.0
1529,driade,2,24,12.0
1530,Native,2,24,12.0
1531,Verbatim,2,24,12.0
1532,Holdit,2,24,12.0
1533,Abalone,2,24,12.0
1534,DANONE,2,24,12.0
1535,odi,2,24,12.0
1536,Bon Pilates,2,24,12.0
1537,SSC Napoli,2,24,12.0
1538,merkloos,10,23,2.3
1539,Tiger,9,23,2.6
1540,Marabout,9,23,2.6
1541,Power,9,23,2.6
1542,Zero,7,23,3.3
1543,Rip Curl,7,23,3.3
1544,Dragon,6,23,3.8
1545,Alcatel,6,23,3.8
1546,Muse,6,23,3.8
1547,Dujardin,6,23,3.8
1548,Givi,5,23,4.6
1549,Babboe,5,23,4.6
1550,Shure,4,23,5.8
1551,Grohe,3,23,7.7
1552,Nutella,3,23,7.7
1553,equation,3,23,7.7
1554,ESSELTE,3,23,7.7
1555,Brunello Cucinelli,3,23,7.7
1556,Fresh & Rebel,3,23,7.7
1557,schabak,3,23,7.7
1558,Cyrillus,2,23,11.5
1559,Hachette Éducation,2,23,11.5
1560,Olympic,2,23,11.5
1561,Curli,2,23,11.5
1562,Limite Limite,2,23,11.5
1563,Anatolian,2,23,11.5
1564,Ridley’s,2,23,11.5
1565,Ottimo,14,22,1.6
1566,Pommette,11,22,2.0
1567,SETA,7,22,3.1
1568,Nosiboo,7,22,3.1
1569,Dodie,6,22,3.7
1570,Vanguard,6,22,3.7
1571,THERMOBABY,4,22,5.5
1572,Bout'chou,4,22,5.5
1573,High-Tech,4,22,5.5
1574,Imperial Riding,4,22,5.5
1575,Deruta,3,22,7.3
1576,Home Maison,3,22,7.3
1577,Madonna,3,22,7.3
1578,Savage Gear,3,22,7.3
1579,Paul Picot,2,22,11.0
1580,Costes,2,22,11.0
1581,Philippe Starck,2,22,11.0
1582,Belgique,2,22,11.0
1583,Winterling,2,22,11.0
1584,Abrila,2,22,11.0
1585,T.K. Maxx,2,22,11.0
1586,Curta,2,22,11.0
1587,Travel,2,22,11.0
1588,VHF,2,22,11.0
1589,ThinkFun,2,22,11.0
1590,Halo,2,22,11.0
1591,Stone Island,2,22,11.0
1592,Vsett,2,22,11.0
1593,Jan van Haasteren,13,21,1.6
1594,Orologio,12,21,1.8
1595,Bontempi,10,21,2.1
1596,LOOK,8,21,2.6
1597,Electrolux,7,21,3.0
1598,Ultra PRO,7,21,3.0
1599,Umbro,6,21,3.5
1600,Illy,6,21,3.5
1601,Tela,6,21,3.5
1602,Miraculous,5,21,4.2
1603,Esquisse,5,21,4.2
1604,LAVORO,5,21,4.2
1605,Nakamura,5,21,4.2
1606,TU,4,21,5.2
1607,WeatherBeeta,4,21,5.2
1608,Glantier,3,21,7.0
1609,Britax Römer,3,21,7.0
1610,Walker,3,21,7.0
1611,Delphin,3,21,7.0
1612,T'nB,3,21,7.0
1613,Guitare,3,21,7.0
1614,ALDO,2,21,10.5
1615,Polti,2,21,10.5
1616,Govee,2,21,10.5
1617,Jupiter,2,21,10.5
1618,Senza,20,20,1.0
1619,Ergobag,14,20,1.4
1620,Unico,12,20,1.7
1621,Magimix,8,20,2.5
1622,Royal,8,20,2.5
1623,Pentax,8,20,2.5
1624,Michelin,5,20,4.0
1625,Smoby,5,20,4.0
1626,Waterman,5,20,4.0
1627,Schneider,5,20,4.0
1628,Top Vintage,4,20,5.0
1629,Baby Brezza,4,20,5.0
1630,Slingshot,4,20,5.0
1631,ENGLAND,3,20,6.7
1632,Ridesafer,3,20,6.7
1633,jo 2024,3,20,6.7
1634,BASSANO,3,20,6.7
1635,STC,3,20,6.7
1636,Flamingo,3,20,6.7
1637,INIU,3,20,6.7
1638,Vikteam,3,20,6.7
1639,Courrèges,2,20,10.0
1640,Hunter,2,20,10.0
1641,Marni,2,20,10.0
1642,Star,2,20,10.0
1643,ublot,2,20,10.0
1644,Elvis,2,20,10.0
1645,Compex,2,20,10.0
1646,Libellud,2,20,10.0
1647,kub,2,20,10.0
1648,Divino Regno,2,20,10.0
1649,Hit N Move,2,20,10.0
1650,Primitive,2,20,10.0
1651,OneWheel,2,20,10.0
1652,Poedagar,6,19,3.2
1653,Nero,6,19,3.2
1654,SINGER,6,19,3.2
1655,Religion,5,19,3.8
1656,Magnifique,4,19,4.8
1657,LittleLife,4,19,4.8
1658,Airoh,4,19,4.8
1659,CESA,4,19,4.8
1660,Montegrappa,4,19,4.8
1661,Tessuto,4,19,4.8
1662,Gerard Pasquier,3,19,6.3
1663,Pelikan,3,19,6.3
1664,Master Lock,3,19,6.3
1665,Insta360,3,19,6.3
1666,Pierre,3,19,6.3
1667,Mitchell,3,19,6.3
1668,Anastasia Beverly Hills,2,19,9.5
1669,L'Oréal Professionnel,2,19,9.5
1670,Schwarzkopf,2,19,9.5
1671,Converse,2,19,9.5
1672,Vogue,2,19,9.5
1673,Flora,2,19,9.5
1674,STOF,2,19,9.5
1675,Trendy,2,19,9.5
1676,SHABBY,2,19,9.5
1677,Tea,2,19,9.5
1678,livre ancien,2,19,9.5
1679,finger sleeves,2,19,9.5
1680,Fokky,2,19,9.5
1681,Gymshark,2,19,9.5
1682,Arte,11,18,1.6
1683,Reer,11,18,1.6
1684,Campagnolo,9,18,2.0
1685,Avologi,8,18,2.2
1686,Koala,8,18,2.2
1687,Carryboo,8,18,2.2
1688,Treccani,8,18,2.2
1689,Husqvarna,8,18,2.2
1690,Tedi,7,18,2.6
1691,Weber,6,18,3.0
1692,Mondial Tissus,6,18,3.0
1693,Artist,6,18,3.0
1694,CASCO,5,18,3.6
1695,JSP,5,18,3.6
1696,longoni,5,18,3.6
1697,Bohemia,4,18,4.5
1698,GreenGate,4,18,4.5
1699,Essentiel,4,18,4.5
1700,Bowers & Wilkins,4,18,4.5
1701,Denver,4,18,4.5
1702,SAX,4,18,4.5
1703,Le Gaulois,3,18,6.0
1704,Cacharel,2,18,9.0
1705,Stance,2,18,9.0
1706,Bronzini,2,18,9.0
1707,Jaeger,2,18,9.0
1708,bluesky,2,18,9.0
1709,Iron Maiden,2,18,9.0
1710,Marlboro,2,18,9.0
1711,tosin,2,18,9.0
1712,Pulsar,2,18,9.0
1713,icom,2,18,9.0
1714,hercules,2,18,9.0
1715,Rackham,2,18,9.0
1716,Assassin's Creed,2,18,9.0
1717,GIG,2,18,9.0
1718,Gwennhael Spirit,2,18,9.0
1719,Lightning Bolt,2,18,9.0
1720,Rainbow,21,17,0.8
1721,Sports,14,17,1.2
1722,Chogan,13,17,1.3
1723,Ariete,13,17,1.3
